t,x,v,a
0.488,1.19072,4.88,10
0.489,1.1956,4.89,10
0.49,1.2005,4.9,10
0.491,1.2054,4.91,10
0.492,1.21032,4.92,10
0.493,1.21525,4.93,10
0.494,1.22018,4.94,10
0.495,1.22513,4.95,10
0.496,1.23008,4.96,10
0.497,1.23505,4.97,10
0.498,1.24002,4.98,10
0.499,1.24501,4.99,10
0.5,1.25,5,0
0.501,1.255,5,0
0.502,1.26,5,0
0.503,1.265,5,0
0.504,1.27,5,0
0.505,1.275,5,0
0.506,1.28,5,0
0.507,1.285,5,0
0.508,1.29,5,0
0.509,1.295,5,0
0.51,1.3,5,0
0.511,1.305,5,0
0.512,1.31,5,0
0.513,1.315,5,0
0.514,1.32,5,0
0.515,1.325,5,0
0.516,1.33,5,0
0.517,1.335,5,0
0.518,1.34,5,0
0.519,1.345,5,0
0.52,1.35,5,0
0.521,1.355,5,0
0.522,1.36,5,0
0.523,1.365,5,0
0.524,1.37,5,0
0.525,1.375,5,0
0.526,1.38,5,0
0.527,1.385,5,0
0.528,1.39,5,0
0.529,1.395,5,0
0.53,1.4,5,0
0.531,1.405,5,0
0.532,1.41,5,0
0.533,1.415,5,0
0.534,1.42,5,0
0.535,1.425,5,0
0.536,1.43,5,0
0.537,1.435,5,0
0.538,1.44,5,0
0.539,1.445,5,0
0.54,1.45,5,0
0.541,1.455,5,0
0.542,1.46,5,0
0.543,1.465,5,0
0.544,1.47,5,0
0.545,1.475,5,0
0.546,1.48,5,0
0.547,1.485,5,0
0.548,1.49,5,0
0.549,1.495,5,0
0.55,1.5,5,0
0.551,1.505,5,0
0.552,1.51,5,0
0.553,1.515,5,0
0.554,1.52,5,0
0.555,1.525,5,0
0.556,1.53,5,0
0.557,1.535,5,0
0.558,1.54,5,0
0.559,1.545,5,0
0.56,1.55,5,0
0.561,1.555,5,0
0.562,1.56,5,0
0.563,1.565,5,0
0.564,1.57,5,0
0.565,1.575,5,0
0.566,1.58,5,0
0.567,1.585,5,0
0.568,1.59,5,0
0.569,1.595,5,0
0.57,1.6,5,0
0.571,1.605,5,0
0.572,1.61,5,0
0.573,1.615,5,0
0.574,1.62,5,0
0.575,1.625,5,0
0.576,1.63,5,0
0.577,1.635,5,0
0.578,1.64,5,0
0.579,1.645,5,0
0.58,1.65,5,0
0.581,1.655,5,0
0.582,1.66,5,0
0.583,1.665,5,0
0.584,1.67,5,0
0.585,1.675,5,0
0.586,1.68,5,0
0.587,1.685,5,0
0.588,1.69,5,0
0.589,1.695,5,0
0.59,1.7,5,0
0.591,1.705,5,0
0.592,1.71,5,0
0.593,1.715,5,0
0.594,1.72,5,0
0.595,1.725,5,0
0.596,1.73,5,0
0.597,1.735,5,0
0.598,1.74,5,0
0.599,1.745,5,0
0.6,1.75,5,0
0.601,1.755,5,0
0.602,1.76,5,0
0.603,1.765,5,0
0.604,1.77,5,0
0.605,1.775,5,0
0.606,1.78,5,0
0.607,1.785,5,0
0.608,1.79,5,0
0.609,1.795,5,0
0.61,1.8,5,0
0.611,1.805,5,0
0.612,1.81,5,0
0.613,1.815,5,0
0.614,1.82,5,0
0.615,1.825,5,0
0.616,1.83,5,0
0.617,1.835,5,0
0.618,1.84,5,0
0.619,1.845,5,0
0.62,1.85,5,0
0.621,1.855,5,0
0.622,1.86,5,0
0.623,1.865,5,0
0.624,1.87,5,0
0.625,1.875,5,0
0.626,1.88,5,0
0.627,1.885,5,0
0.628,1.89,5,0
0.629,1.895,5,0
0.63,1.9,5,0
0.631,1.905,5,0
0.632,1.91,5,0
0.633,1.915,5,0
0.634,1.92,5,0
0.635,1.925,5,0
0.636,1.93,5,0
0.637,1.935,5,0
0.638,1.94,5,0
0.639,1.945,5,0
0.64,1.95,5,0
0.641,1.955,5,0
0.642,1.96,5,0
0.643,1.965,5,0
0.644,1.97,5,0
0.645,1.975,5,0
0.646,1.98,5,0
0.647,1.985,5,0
0.648,1.99,5,0
0.649,1.995,5,0
0.65,2,5,0
0.651,2.005,5,0
0.652,2.01,5,0
0.653,2.015,5,0
0.654,2.02,5,0
0.655,2.025,5,0
0.656,2.03,5,0
0.657,2.035,5,0
0.658,2.04,5,0
0.659,2.045,5,0
0.66,2.05,5,0
0.661,2.055,5,0
0.662,2.06,5,0
0.663,2.065,5,0
0.664,2.07,5,0
0.665,2.075,5,0
0.666,2.08,5,0
0.667,2.085,5,0
0.668,2.09,5,0
0.669,2.095,5,0
0.67,2.1,5,0
0.671,2.105,5,0
0.672,2.11,5,0
0.673,2.115,5,0
0.674,2.12,5,0
0.675,2.125,5,0
0.676,2.13,5,0
0.677,2.135,5,0
0.678,2.14,5,0
0.679,2.145,5,0
0.68,2.15,5,0
0.681,2.155,5,0
0.682,2.16,5,0
0.683,2.165,5,0
0.684,2.17,5,0
0.685,2.175,5,0
0.686,2.18,5,0
0.687,2.185,5,0
0.688,2.19,5,0
0.689,2.195,5,0
0.69,2.2,5,0
0.691,2.205,5,0
0.692,2.21,5,0
0.693,2.215,5,0
0.694,2.22,5,0
0.695,2.225,5,0
0.696,2.23,5,0
0.697,2.235,5,0
0.698,2.24,5,0
0.699,2.245,5,0
0.7,2.25,5,0
0.701,2.255,5,0
0.702,2.26,5,0
0.703,2.265,5,0
0.704,2.27,5,0
0.705,2.275,5,0
0.706,2.28,5,0
0.707,2.285,5,0
0.708,2.29,5,0
0.709,2.295,5,0
0.71,2.3,5,0
0.711,2.305,5,0
0.712,2.31,5,0
0.713,2.315,5,0
0.714,2.32,5,0
0.715,2.325,5,0
0.716,2.33,5,0
0.717,2.335,5,0
0.718,2.34,5,0
0.719,2.345,5,0
0.72,2.35,5,0
0.721,2.355,5,0
0.722,2.36,5,0
0.723,2.365,5,0
0.724,2.37,5,0
0.725,2.375,5,0
0.726,2.38,5,0
0.727,2.385,5,0
0.728,2.39,5,0
0.729,2.395,5,0
0.73,2.4,5,0
0.731,2.405,5,0
0.732,2.41,5,0
0.733,2.415,5,0
0.734,2.42,5,0
0.735,2.425,5,0
0.736,2.43,5,0
0.737,2.435,5,0
0.738,2.44,5,0
0.739,2.445,5,0
0.74,2.45,5,0
0.741,2.455,5,0
0.742,2.46,5,0
0.743,2.465,5,0
0.744,2.47,5,0
0.745,2.475,5,0
0.746,2.48,5,0
0.747,2.485,5,0
0.748,2.49,5,0
0.749,2.495,5,0
0.75,2.5,5,0
0.751,2.505,5,0
0.752,2.51,5,0
0.753,2.515,5,0
0.754,2.52,5,0
0.755,2.525,5,0
0.756,2.53,5,0
0.757,2.535,5,0
0.758,2.54,5,0
0.759,2.545,5,0
0.76,2.55,5,0
0.761,2.555,5,0
0.762,2.56,5,0
0.763,2.565,5,0
0.764,2.57,5,0
0.765,2.575,5,0
0.766,2.58,5,0
0.767,2.585,5,0
0.768,2.59,5,0
0.769,2.595,5,0
0.77,2.6,5,0
0.771,2.605,5,0
0.772,2.61,5,0
0.773,2.615,5,0
0.774,2.62,5,0
0.775,2.625,5,0
0.776,2.63,5,0
0.777,2.635,5,0
0.778,2.64,5,0
0.779,2.645,5,0
0.78,2.65,5,0
0.781,2.655,5,0
0.782,2.66,5,0
0.783,2.665,5,0
0.784,2.67,5,0
0.785,2.675,5,0
0.786,2.68,5,0
0.787,2.685,5,0
0.788,2.69,5,0
0.789,2.695,5,0
0.79,2.7,5,0
0.791,2.705,5,0
0.792,2.71,5,0
